COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Jordan,JOR,EMRO,REPORTING,2022-05-13,9922666,4774468,97.251,46.794,4494834,44.053,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-13,10,657492,6.444
Kazakhstan,KAZ,EURO,REPORTING,2022-05-15,24816901,10575314,132.2,56.321,10216468,54.41,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",2021-04-07,5,4025119,21.437
Kenya,KEN,AFRO,REPORTING,2022-05-15,17992422,11968185,33.461,22.258,8591665,15.978,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-05,5,310893,0.578
Kiribati,KIR,WPRO,REPORTING,2022-05-14,151235,80566,126.611,67.448,60670,50.792,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",2021-05-26,2,9999,8.371
Kosovo,XKX,EURO,REPORTING,2022-05-15,1827545,902699,101.8,50.271,822348,45.796,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2,102498,5.708
Kuwait,KWT,EMRO,REPORTING,2022-05-15,8002689,3422607,187.392,80.144,3303573,77.357,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-28,10,1276509,29.891
Kyrgyzstan,KGZ,EURO,REPORTING,2022-05-08,2797332,1415180,42.9,21.691,1242997,19.052,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",2021-03-31,6,139155,2.133
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2022-04-06,10527679,5670200,144.699,77.935,4614786,63.429,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-25,8,1289144,17.719
Latvia,LVA,EURO,REPORTING,2022-05-15,2825291,1300719,148.1,68.183,1268650,66.502,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-30,5,528029,27.679
Lebanon,LBN,EMRO,REPORTING,2022-05-09,5613936,2679956,82.25,39.264,2356112,34.52,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-14,10,577868,8.466
Lesotho,LSO,AFRO,REPORTING,2022-05-08,933825,933825,43.591,43.591,735610,34.338,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-10,3,,
Liberia,LBR,AFRO,REPORTING,2022-05-15,1837296,1751520,36.327,34.631,1438154,28.435,SII - Covishield,2021-04-01,1,1912,0.038
Libya,LBY,EMRO,REPORTING,2022-05-12,3456207,2215855,50.299,32.248,1141938,16.619,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-04-11,10,98414,1.432
Liechtenstein,LIE,OTHER,REPORTING,2022-04-10,71104,26681,183.5,68.86,26346,67.995,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-06,3,18310,47.255
Lithuania,LTU,EURO,REPORTING,2022-05-15,4469628,1950563,160,69.964,1900246,68.009,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,5,888440,31.797
Luxembourg,LUX,EURO,REPORTING,2022-05-15,1260624,469091,201.3,74.922,462025,73.793,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-30,5,360303,57.546
Madagascar,MDG,AFRO,REPORTING,2022-05-15,2369775,1290584,8.558,4.661,1156975,4.178,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-05-10,3,26792,0.097
Malawi,MWI,AFRO,REPORTING,2022-05-15,2166402,1596607,11.325,8.346,1139589,5.957,"Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-11,2,4920,0.026
Malaysia,MYS,WPRO,REPORTING,2022-05-13,70608842,27865921,218.157,86.096,26895592,83.098,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-24,8,16060777,49.622
Maldives,MDV,SEARO,REPORTING,2022-05-09,942138,398615,174.294,73.743,384016,71.043,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-01,8,159507,29.509
Mali,MLI,AFRO,REPORTING,2022-05-15,1993965,1439740,9.846,7.11,1075123,5.309,SII - Covishield,2021-03-31,1,,
Malta,MLT,EURO,REPORTING,2022-05-15,1229020,449977,238.8,87.448,444109,86.308,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,348361,67.7
Marshall Islands,MHL,WPRO,REPORTING,2022-04-21,64048,33265,108.2,56.197,26892,45.43,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-29,3,6687,11.297
Martinique,MTQ,AMRO,REPORTING,2022-05-13,381968,148593,101.786,39.597,143375,38.206,Pfizer BioNTech - Comirnaty,,1,88477,23.577
Mauritania,MRT,AFRO,REPORTING,2022-05-15,2650000,1583799,56.993,34.063,1081845,23.267,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-26,2,53921,1.16
Mauritius,MUS,AFRO,REPORTING,2022-05-15,2698115,1000474,212.155,78.668,963452,75.757,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-01-26,3,607749,47.788
Mexico,MEX,AMRO,REPORTING,2022-05-13,205629496,85923271,159.486,66.642,79947470,62.007,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-24,7,52940036,41.06
Micronesia (Federated States of),FSM,WPRO,REPORTING,2022-04-21,122731,66131,106.701,57.494,55921,48.617,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-13,4,13642,11.86
Monaco,MCO,EURO,REPORTING,2022-01-02,58294,23460,148.5,59.78,23356,59.515,"Moderna - Spikevax,Novavax - Covavax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-06-30,4,11478,29.248
Mongolia,MNG,WPRO,REPORTING,2022-05-13,5622095,2273204,171.495,69.341,2176039,66.377,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,6,1042515,31.801
Montenegro,MNE,EURO,REPORTING,2022-04-10,528839,276421,84.2,44.45,252418,40.59,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2021-02-24,5,0,0
Montserrat,MSR,AMRO,REPORTING,2022-05-13,4255,1916,85.117,38.328,1829,36.587,AstraZeneca - Vaxzevria,2021-02-08,1,510,10.202
Morocco,MAR,EMRO,REPORTING,2022-05-15,54528504,24913952,147.731,67.498,23393553,63.379,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-28,10,6318712,17.119
Mozambique,MOZ,AFRO,REPORTING,2022-05-15,31616078,14895924,101.154,47.659,13994237,44.774,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-08,3,346565,1.109
Myanmar,MMR,SEARO,REPORTING,2022-05-09,56989806,30994375,104.742,56.965,24329862,44.716,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-01-27,2,1665569,3.061
Namibia,NAM,AFRO,REPORTING,2022-05-15,834756,479078,32.853,18.855,408202,16.065,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-19,4,24989,0.983
Nauru,NRU,WPRO,REPORTING,2022-03-31,22976,9464,212.073,87.355,8585,79.241,"AstraZeneca - Vaxzevria,SII - Covishield",2021-04-09,2,4927,45.477
Nepal,NPL,SEARO,REPORTING,2022-05-09,45817899,22346138,157.251,76.694,19740770,67.752,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-27,8,3730991,12.805
Netherlands,NLD,EURO,REPORTING,2022-05-15,36281590,13469323,208.4,77.376,12409126,71.286,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2021-01-06,6,9336451,53.634
New Caledonia,NCL,WPRO,REPORTING,2022-05-10,460435,188212,161.274,65.924,180083,63.077,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-01-20,2,92140,32.273
New Zealand,NZL,WPRO,REPORTING,2022-05-13,11053802,4263251,229.226,88.408,4076139,84.528,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-19,4,2667106,55.309
Nicaragua,NIC,AMRO,REPORTING,2022-05-13,10448467,5730078,157.723,86.498,4718389,71.226,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-03,9,,
Niger,NER,AFRO,REPORTING,2022-05-15,2845107,2190790,11.753,9.05,1549987,6.403,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-29,2,,
Nigeria,NGA,AFRO,REPORTING,2022-05-15,41091354,27401621,19.934,13.293,16817979,8.159,SII - Covishield,2021-03-05,1,942369,0.457
Niue,NIU,WPRO,REPORTING,2022-03-13,4161,1650,257.169,101.978,1417,87.577,Pfizer BioNTech - Comirnaty,2021-06-08,1,1094,67.614
North Macedonia,MKD,EURO,REPORTING,2022-05-08,1848141,853562,88.7,41.111,836961,40.311,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-02-17,6,157618,7.591
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2022-05-04,111665,44759,194.008,77.765,43866,76.213,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-19,3,23040,40.03
Norway,NOR,EURO,REPORTING,2022-05-15,11305805,4335335,210.6,80.769,4041024,75.286,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4,2936448,54.707
occupied Palestinian territory,PSE,EMRO,REPORTING,2022-05-08,3720221,2002142,72.925,39.247,1768991,34.676,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-02,10,327224,6.414
Oman,OMN,EMRO,REPORTING,2022-04-27,7039789,3261677,137.856,63.871,3030281,59.34,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-12-29,11,747831,14.644
Pakistan,PAK,EMRO,REPORTING,2022-05-11,254189036,143000032,115.074,64.737,120804526,54.689,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-03,11,7186014,3.253
Palau,PLW,WPRO,REPORTING,2022-04-21,47030,20176,259.949,111.519,17937,99.143,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-03,3,11266,62.271
Panama,PAN,AMRO,REPORTING,2022-05-13,8138086,3471050,188.61,80.446,3090346,71.623,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-20,2,1553042,35.994
Papua New Guinea,PNG,WPRO,REPORTING,2022-04-19,441214,323345,4.931,3.614,263995,2.951,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-30,4,13841,0.155
Paraguay,PRY,AMRO,REPORTING,2022-05-13,8677904,3899290,121.666,54.669,3398690,47.65,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-22,8,1378641,19.329
Peru,PER,AMRO,REPORTING,2022-05-13,73175686,29222403,221.934,88.628,27061466,82.074,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-09,4,16574440,50.268
Philippines,PHL,WPRO,REPORTING,2022-05-12,148134559,73604001,135.183,67.169,69160275,63.113,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,11,13558456,12.373
Pitcairn Islands,PCN,WPRO,REPORTING,2022-02-28,106,46,212,92,37,74,AstraZeneca - Vaxzevria,2021-05-17,1,23,46
Poland,POL,EURO,REPORTING,2022-05-15,54465653,22793411,143.5,60.049,22499174,59.274,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5,11980361,31.562
Portugal,PRT,EURO,REPORTING,2022-05-15,23890354,9708206,232,94.409,8852354,85.979,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-23,7,6451512,62.661
Puerto Rico,PRI,AMRO,REPORTING,2022-05-13,7211193,3140010,252.064,109.758,2657864,92.905,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",,3,1554118,54.324
Qatar,QAT,EMRO,REPORTING,2022-05-15,6805018,2617500,236.199,90.852,2617500,90.852,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,10,1570018,54.495
Republic of Korea,KOR,WPRO,REPORTING,2022-05-16,124616106,44962170,243.062,87.698,44483259,86.764,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-26,5,33219814,64.795
Republic of Moldova,MDA,EURO,REPORTING,2022-05-15,2181996,1092017,54.1,27.071,1062023,26.327,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-03,7,329377,8.165
Romania,ROU,EURO,REPORTING,2022-05-15,16012790,8172058,82.8,42.279,8118037,42,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-27,4,1736500,8.984
Russian Federation,RUS,EURO,OWID,2022-04-26,165983904,80485662,113.7,55.152,73293254,50.223,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2,,
Rwanda,RWA,AFRO,REPORTING,2022-05-15,20141669,9017822,155.507,69.624,8440032,65.163,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,7,4324560,33.389
Saba,XCA,AMRO,REPORTING,2022-05-13,4270,1594,220.9,82.462,1577,81.583,,,,1099,56.855
Saint Helena,SHN,AFRO,OWID,2021-05-05,7892,4361,129.995,71.833,3531,58.162,AstraZeneca - AZD1222,,1,,
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2022-05-13,58477,28446,109.936,53.478,26690,50.177,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,3,3341,6.281
Saint Lucia,LCA,AMRO,REPORTING,2022-05-13,120036,59022,65.369,32.142,53697,29.242,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-17,5,7317,3.985
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2022-05-13,70331,36274,63.396,32.697,30447,27.445,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-01,5,3610,3.254
Samoa,WSM,WPRO,REPORTING,2022-05-05,418756,189423,211.052,95.469,162089,81.692,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-04-18,2,67244,33.891
San Marino,SMR,EURO,REPORTING,2022-05-01,69259,26351,204.1,76.484,23631,68.589,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2021-02-24,2,19277,55.952
Sao Tome and Principe,STP,AFRO,REPORTING,2022-05-15,208657,113708,95.208,51.884,86914,39.658,"AstraZeneca - Vaxzevria,SII - Covishield",2021-03-15,2,2685,1.225
Saudi Arabia,SAU,EMRO,REPORTING,2022-05-15,64913471,26497568,186.459,76.112,24848242,71.375,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-06,10,13567661,38.972
Senegal,SEN,AFRO,REPORTING,2022-05-15,2469499,1467299,14.749,8.763,1051041,6.277,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-02-23,3,7027,0.042
Serbia,SRB,EURO,REPORTING,2022-03-27,6696502,3386883,96.7,48.896,3309619,47.781,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,5,0,0
Seychelles,SYC,AFRO,REPORTING,2022-05-15,201121,84679,204.501,86.102,80457,81.809,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",2021-01-10,4,36307,36.917
Sierra Leone,SLE,AFRO,REPORTING,2022-05-01,2868978,1987563,35.966,24.916,1315830,16.495,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-15,2,5359,0.067
Singapore,SGP,WPRO,REPORTING,2022-05-09,14027362,5013834,239.77,85.702,4984296,85.197,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,4029232,68.872
Sint Eustatius,XBA,AMRO,REPORTING,2022-05-13,4325,1791,137.783,57.056,1686,53.711,,,,848,27.015
Sint Maarten,SXM,AMRO,REPORTING,2022-05-13,64441,29164,150.275,68.01,25915,60.433,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-22,3,9362,21.832
Slovakia,SVK,EURO,REPORTING,2022-05-15,7073274,2821532,129.6,51.697,2771202,50.774,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-01-06,6,1649050,30.214
Slovenia,SVN,EURO,REPORTING,2022-05-15,2957404,1238227,141.1,59.08,1207163,57.597,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5,647962,30.916
Solomon Islands,SLB,WPRO,REPORTING,2022-05-15,439234,269697,63.946,39.264,166361,24.22,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-23,4,3176,0.462
Somalia,SOM,EMRO,REPORTING,2022-05-13,2679487,2201900,16.859,13.854,1385138,8.715,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-16,11,,
South Africa,ZAF,AFRO,REPORTING,2022-05-15,35436933,22591498,59.75,38.091,19631290,33.1,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2,2958541,4.988
South Sudan,SSD,AFRO,REPORTING,2022-05-15,723341,674599,6.462,6.027,631092,5.638,"Janssen - Ad26.COV 2-S,SII - Covishield",2021-04-06,2,,
Spain,ESP,EURO,REPORTING,2022-05-15,101466700,41195985,214.4,87.035,37333895,78.876,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,24917387,52.643
Sri Lanka,LKA,SEARO,REPORTING,2022-05-09,39505395,17066996,184.49,79.703,14465233,67.553,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-29,6,7973166,37.235
Sudan,SDN,EMRO,REPORTING,2022-05-01,7096087,5929766,16.183,13.523,3631390,8.282,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-09,11,38261,0.087
Suriname,SUR,AMRO,REPORTING,2022-05-13,553668,267593,94.381,45.615,237596,40.502,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,5,48479,8.264
Sweden,SWE,EURO,REPORTING,2022-05-15,21636207,7553363,209.5,73.138,7385768,71.515,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,5,5360075,51.901
Switzerland,CHE,EURO,REPORTING,2022-05-15,15523597,6082678,179.4,70.679,5703845,66.277,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,3,3795552,44.103
Syrian Arab Republic,SYR,EMRO,REPORTING,2022-05-14,3799075,2510903,21.708,14.347,1597306,9.127,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-04-01,11,15636,0.089
Tajikistan,TJK,EURO,REPORTING,2022-05-08,12504152,5189877,131.1,54.415,4976770,52.18,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-24,6,2337505,24.508
Thailand,THA,SEARO,REPORTING,2022-05-09,134953345,56305044,193.343,80.666,51788568,74.196,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-28,7,26859733,38.481
